method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution
no_warm_start_remove_region,"[1000, 100, 100, 1]",110301,50,0.0,-inf,0.7867527604103088,488.16615414619446,601.0564334392548,1060,600,0.9622607231140136
no_warm_start_remove_region,"[1000, 100, 100, 1]",77271,50,0.3,-inf,0.7877553105354309,243.1053206920624,600.9386265277863,1309,600,0.9622607231140136
no_warm_start_remove_region,"[1000, 100, 100, 1]",55251,50,0.5,-inf,0.828533411026001,234.69137740135196,601.1906697750092,1666,600,0.9622607231140136
no_warm_start_remove_region,"[1000, 100, 100, 1]",22221,50,0.8,-inf,0.5733951330184937,413.5255637168884,600.551272392273,1031,600,0.9622607231140136
no_warm_start_remove_region,"[1000, 100, 100, 1]",11211,50,0.9,-inf,0.2924898862838745,171.44400763511658,600.6913714408875,2186,600,0.9622607231140136
no_warm_start_remove_region,"[1000, 100, 100, 1]",5706,50,0.95,-inf,0.0856147557497024,0.305844783782959,0.3154225349426269,3,600,0.9622607231140136
no_warm_start_remove_region,"[1000, 100, 100, 1]",110301,51,0.0,-inf,0.9117369651794434,118.65415978431702,600.7300088405609,973,600,0.91716331243515
no_warm_start_remove_region,"[1000, 100, 100, 1]",77271,51,0.3,-inf,0.9409361481666564,262.792352437973,600.786518573761,1223,600,0.91716331243515
no_warm_start_remove_region,"[1000, 100, 100, 1]",55251,51,0.5,-inf,0.8523160219192505,299.57574558258057,600.9375109672546,1260,600,0.91716331243515
no_warm_start_remove_region,"[1000, 100, 100, 1]",22221,51,0.8,-inf,0.5468764901161194,128.20372414588928,600.6036982536316,680,600,0.91716331243515
no_warm_start_remove_region,"[1000, 100, 100, 1]",11211,51,0.9,-inf,0.3244466185569763,470.1163892745972,600.857179403305,1678,600,0.91716331243515
no_warm_start_remove_region,"[1000, 100, 100, 1]",5706,51,0.95,-inf,0.0087908543646335,0.4309871196746826,0.4438636302947998,3,600,0.91716331243515
no_warm_start_remove_region,"[1000, 1000, 1000, 1]",2003001,50,0.0,-inf,0.6371088624000549,23.04893684387207,604.8158385753632,2,600,0.8362342715263367
no_warm_start_remove_region,"[1000, 1000, 1000, 1]",1402701,50,0.3,-inf,0.5891028642654419,21.52040958404541,604.5329079627991,2,600,0.8362342715263367
no_warm_start_remove_region,"[1000, 1000, 1000, 1]",1002501,50,0.5,-inf,0.4227660298347473,14.658884048461914,605.0496850013733,2,600,0.8362342715263367
no_warm_start_remove_region,"[1000, 1000, 1000, 1]",402201,50,0.8,-inf,0.121460348367691,7.286576271057129,602.9850871562958,2,600,0.8362342715263367
no_warm_start_remove_region,"[1000, 1000, 1000, 1]",202101,50,0.9,-inf,0.1504457890987396,5.822004795074463,603.2012906074524,2,600,0.8362342715263367
no_warm_start_remove_region,"[1000, 1000, 1000, 1]",102051,50,0.95,-inf,0.1147472634911537,5.708478212356567,603.099622964859,2,600,0.8362342715263367
no_warm_start_remove_region,"[1000, 1000, 1000, 1]",2003001,51,0.0,-inf,0.4832388460636139,19.13441276550293,603.578506231308,2,600,0.7387897372245789
no_warm_start_remove_region,"[1000, 1000, 1000, 1]",1402701,51,0.3,-inf,0.4359859526157379,15.395567178726196,604.0400261878967,2,600,0.7387897372245789
