method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution,slurm_array_id
no_warm_start_dense_passing,"[100, 50, 50, 1]",7651,50,0.0,0.3950315908751322,0.3950315117835998,287.80841183662415,600.4622440338135,1950,600,0.2949797213077545,
no_warm_start_dense_passing,"[100, 50, 50, 1]",5386,50,0.3,0.3707560552394263,0.3750318586826324,128.9913399219513,600.3113503456116,2827,600,0.2949797213077545,
no_warm_start_dense_passing,"[100, 50, 50, 1]",3876,50,0.5,0.3537432313460539,0.3336760103702545,227.3465931415558,600.3023235797882,3981,600,0.2949797213077545,
no_warm_start_dense_passing,"[100, 50, 50, 1]",1611,50,0.8,0.1971275555797624,0.2486249804496765,511.2549700737,601.9316518306732,48751,600,0.2949797213077545,
no_warm_start_dense_passing,"[100, 50, 50, 1]",856,50,0.9,0.1005351591813665,0.0404309518635273,0.1612396240234375,0.959620714187622,6,600,0.2949797213077545,
no_warm_start_dense_passing,"[100, 50, 50, 1]",479,50,0.95,0.0829831071148293,0.0731584057211875,0.15086030960083,0.1517212390899658,1,600,0.2949797213077545,
no_warm_start_dense_passing,"[100, 50, 50, 1]",139,50,0.995,0.079495333135128,0.0731584057211875,0.211235761642456,0.2122962474822998,1,600,0.2949797213077545,
no_warm_start_dense_passing,"[100, 50, 50, 1]",109,50,0.999,0.079495333135128,0.0731584057211875,0.2080404758453369,0.2091691493988037,1,600,0.2949797213077545,
no_warm_start_dense_passing,"[100, 50, 50, 1]",7651,51,0.0,0.3905820040471467,0.3905819356441498,251.33944582939148,600.4464643001556,1345,600,0.2673710882663727,
no_warm_start_dense_passing,"[100, 50, 50, 1]",5386,51,0.3,0.3720000866582408,0.36322882771492,167.71449327468872,600.4825222492218,2347,600,0.2673710882663727,
no_warm_start_dense_passing,"[100, 50, 50, 1]",3876,51,0.5,0.3346925438989808,0.3439244031906128,87.18269729614258,600.4226920604706,4791,600,0.2673710882663727,
no_warm_start_dense_passing,"[100, 50, 50, 1]",1611,51,0.8,0.1689175522028168,0.2038138061761856,327.3437945842743,604.3133034706116,44540,600,0.2673710882663727,
