method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution,slurm_array_id
no_warm_start_dense_passing,"[100, 50, 50, 1]",7651,50,0.0,0.3954161967063705,0.3954162001609802,508.6746971607208,600.7222230434418,41,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 1]",7651,51,0.0,0.3884106581927312,0.3884106576442718,277.4837610721588,600.6830971240997,23,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 1]",7651,52,0.0,0.2573822534710868,0.2573822438716888,224.53696656227112,600.4196937084198,27,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 1]",7651,53,0.0,0.5433407722283214,0.5433406829833984,204.83406615257263,600.6203529834747,34,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 1]",7651,54,0.0,0.3843297860749835,0.3843297958374023,559.8290798664093,600.407220363617,22,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 1]",20301,50,0.0,0.2340302767435472,0.2340302467346191,569.1343879699707,600.607127904892,24,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 1]",20301,51,0.0,0.2223147800314645,0.2223147004842758,504.2688589096069,600.8396091461182,19,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 1]",20301,52,0.0,0.29147622351595,0.2914761900901794,581.4761438369751,600.8017857074738,21,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 1]",20301,53,0.0,0.3203769724277323,0.3203769624233246,546.3395886421204,600.8688819408417,18,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 1]",20301,54,0.0,0.5292268344486599,0.5292268395423889,568.6073830127716,600.6730575561523,22,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 1]",60601,50,0.0,0.140456890648007,0.1404568701982498,359.50652289390564,601.2781550884247,5,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 1]",60601,51,0.0,-0.040683236404477,-0.04068323969841,458.7571897506714,601.2066402435303,1,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 1]",60601,52,0.0,0.0094985433948061,0.0094985477626323,19.18270754814148,601.2484338283539,1,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 1]",60601,53,0.0,0.1721323774399516,0.1721323728561401,601.2239727973938,601.4802589416504,4,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 1]",60601,54,0.0,0.1817276071725554,0.1817275881767273,558.6322917938232,601.3371634483337,5,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",10201,50,0.0,0.2353335326286451,0.2353335320949554,594.8704936504364,600.68332862854,18,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",10201,51,0.0,0.0527590541564244,0.0527590475976467,549.198593378067,600.8259568214417,26,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",10201,52,0.0,0.0659248904091026,0.0659248828887939,520.2041680812836,600.8716232776642,25,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",10201,53,0.0,0.2049268131567645,0.2049268037080764,567.6195216178894,600.808589220047,34,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",10201,54,0.0,0.0737549605502158,0.0737549662590026,600.7362208366394,600.9015824794769,32,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 100, 1]",30401,50,0.0,0.0338150615772095,0.0338150598108768,576.7509458065033,600.6935577392578,13,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 100, 1]",30401,51,0.0,-0.030656854762764,-0.0306568518280982,522.3735027313232,600.7459952831268,12,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 100, 1]",30401,52,0.0,-0.0460498210729541,-0.0460498183965683,551.4626379013062,600.7764604091644,8,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 100, 1]",30401,53,0.0,0.025435577417854,0.0254355743527412,396.17306637763977,600.7280733585358,10,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 100, 1]",30401,54,0.0,0.0443868786672323,0.0443868786096572,559.283834695816,600.769852399826,17,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 200, 1]",100801,50,0.0,-0.0692338889959688,-0.0692338868975639,50.727399826049805,601.4006335735321,1,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 200, 1]",100801,51,0.0,0.0310569874421935,0.0310568567365407,67.17354679107666,601.7241339683533,2,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 200, 1]",100801,52,0.0,0.0212270472291516,0.0212270468473434,48.12522172927856,601.5156483650208,1,600,0,
