Model Name,Data Seed,Training Seed,Input Size,Number of Layers,Layers Size,CallBack Type,Prune Time,Total Params,Params Details,Accuracy,MostNegative,TimeFirstNegative
dense,0,2,28,2,32,NonCallBack,0,26506,"[25088, 1024, 320]",0.9482,-10.062247276306152,16.13339900970459
unstructured_finetune_0.3,0,2,28,2,32,NonCallBack,181.40327310562134,18574,"[17561, 716, 223]",0.9651,-9.742504119873047,1.4646711349487305
unstructured_finetune_0.5,0,2,28,2,32,NonCallBack,182.92445588111877,13291,"[12544, 512, 161]",0.9641,-9.565677642822266,0.799144983291626
unstructured_finetune_0.8,0,2,28,2,32,NonCallBack,183.04698491096497,5361,"[5018, 205, 64]",0.9524,-6.105594635009766,0.40370893478393555
unstructured_finetune_0.9,0,2,28,2,32,NonCallBack,184.04726648330688,2717,"[2509, 102, 32]",0.9286,0.9155988693237305,0.15224313735961914
unstructured_finetune_0.95,0,2,28,2,32,NonCallBack,183.8236300945282,1396,"[1255, 51, 16]",0.82,2.2193922996520996,
unstructured_nonfinetune_0.3,0,2,28,2,32,NonCallBack,1.7991609573364258,18574,"[17561, 716, 223]",0.9196,-9.90549087524414,1.1852028369903564
unstructured_nonfinetune_0.5,0,2,28,2,32,NonCallBack,1.924368143081665,13291,"[12544, 512, 161]",0.8658,-12.494965553283691,0.519726037979126
unstructured_nonfinetune_0.8,0,2,28,2,32,NonCallBack,1.8588688373565674,5361,"[5018, 205, 64]",0.3189,-15.204839706420898,0.25013089179992676
unstructured_nonfinetune_0.9,0,2,28,2,32,NonCallBack,1.8162572383880615,2717,"[2509, 102, 32]",0.1853,-3.688291072845459,0.14912700653076172
unstructured_nonfinetune_0.95,0,2,28,2,32,NonCallBack,1.8661315441131592,1396,"[1255, 51, 16]",0.1198,-5.644553184509277,0.022716045379638672
structured_finetune_0.3,0,2,28,2,32,NonCallBack,189.52972173690796,18250,"[17248, 704, 224]",0.7675,-6.161161422729492,0.04118800163269043
structured_finetune_0.5,0,2,28,2,32,NonCallBack,182.12407565116882,13290,"[12544, 512, 160]",0.5747,5.470280647277832,
structured_finetune_0.8,0,2,28,2,32,NonCallBack,188.29545092582703,5850,"[5488, 224, 64]",0.3025,-3.8534393310546875,0.0281369686126709
structured_finetune_0.9,0,2,28,2,32,NonCallBack,183.20384120941162,2554,"[2352, 96, 32]",0.2057,-7.057223320007324,0.013568878173828125
structured_finetune_0.95,0,2,28,2,32,NonCallBack,191.95314192771912,1738,"[1568, 64, 32]",0.2055,-6.887606143951416,0.010993003845214844
